"term","type","domain","category","severity","platforms","why","example","pattern","sources"
"Whispers in the dark / Whispering echoes","phrase","lyrics","sound personification","high","Suno; Udio","'Whispers' + 'echoes' are go-to AI sound words; combining them is doubly generic. 'Whispers' is also the model's substitute for 'echoes' when asked to avoid clichés, so it flags either way.","I hear your whispers in the dark",,"lyric:openers-closers"
"whispered secrets","phrase","lyrics","sound/quiet","medium","Suno; Udio","Pairs the signature GPT word 'whisper' with the abstract 'secrets'; conveys intimacy/mystery as a generic overlay with no actual secret named — Vollmer's 'abstraction drift'.","The night whispered secrets to my soul",,"lyric:atmosphere"
"heaven/seven","rhyme_pair","lyrics","spiritual","low","Suno; Udio","AI grabs the awkward 'seven' to rhyme 'heaven' for lack of alternatives, often producing nonsensical lines — a meaning-blind, rhyme-first tell.","You feel like heaven / on cloud seven",,"rhyme:common"
"soul/goal","rhyme_pair","lyrics","spiritual/motivation","medium","Suno; Udio; ChatGPT","The -ole family is the model's introspection engine: 'deep in my soul', 'reach my goal', 'take control', 'make me whole'. 'Reach my goal' and 'in control' are motivational stock; 'soul' is the default interiority-noun, used as a vague depth-signal rather than concrete feeling.","Deep within my soul / I will reach my goal",,"rhyme:common; rhyme:rap"
"soul/control","rhyme_pair","lyrics","spiritual/power","high","Suno; Udio","Abstract-on-abstract rhyme with no concrete image; AI loves it because both words are emotionally weighty and rhyme cleanly, yielding the recurring 'losing control / deep in my soul' couplet that says nothing specific.","You took over my soul / I am losing all control",,"rhyme:common; rhyme:more; genre:rock-metal; genre:edm-pop"
"hand in hand","phrase","lyrics","stock idiom","medium","Verse Nurse","Cliché togetherness image Suno reaches for in any unity/love chorus. Its ubiquity in generated lyrics marks it as default filler.",,,"suno:giveaways"
"whispering woods / concrete jungle","phrase","lyrics","stock setting metaphor","medium","Suno Wiki","The Suno Wiki names both as overused nature/urban metaphors. They're prefab settings the model drops in rather than describing an actual place.",,,"suno:giveaways"
"bridge that just restates the chorus","structure","lyrics","structural tell","medium","Suno; Udio; r/SunoAI","Critics note AI bridges 'restate the chorus without development' — a real bridge turns the song; AI's recycles existing lines, a structural fingerprint.","(bridge repeats the hook with no new angle)",,"genre:folk-indie"
"every section restates the same central metaphor","structure","lyrics","structural tell","medium","Suno; Udio","AI fixates on one central image (fire, storm, chains) and repeats it in verse, pre-chorus and chorus instead of developing or contrasting ideas, producing a flat single-metaphor song where human writers vary imagery across sections.","Every section returns to 'the fire inside' with no progression",,"lyric:tropes"
"interchangeable verse (could fit any song)","structure","lyrics","structural tell","medium","Suno; Udio","Flagged tell: AI verses 'could fit any song in the genre' and 'rhyme correctly but say nothing particular' — no proper nouns, no specific incident.","(a verse with no names, dates, or concrete events)",,"genre:folk-indie"
"AABB nursery-rhyme scheme","structure","lyrics","structure","high","Suno; Udio; ChatGPT","Suno-community consensus: AI defaults to rigid AABB couplets that 'sound like a robot wrote it.' Real country uses varied/internal/imperfect rhyme; the metronomic AABB pattern is a structural fingerprint.","Every two lines snap shut on a perfect rhyme, verse after verse",,"genre:country"
"verse=struggle / chorus=triumph template","structure","lyrics","structure","high","Suno; Udio","AI defaults to a rigid arc: verses list vague hardships, chorus flips to generic triumph, bridge restates resilience. The mechanical predictability of this struggle-to-empowerment scaffold is itself a structural tell.","[Verse: I was lost...] [Chorus: but now I rise!]",,"lyric:phrases-struggle"
"perfectly uniform verse/chorus symmetry","structure","lyrics","structure","medium","Suno; Udio","AI produces suspiciously even stanzas (identical line counts, syllable lengths, parallel openers) because it's pattern-completing a template. Human lyrics breathe unevenly; machine regularity is a tell.","Three verses each exactly four lines with matching meter",,"genre:country"
"Yeah/Uh/Let's go ad-lib opener","opener","lyrics","structure","low","Suno; Udio; ChatGPT","The model front-loads decorative ad-libs ('Yeah, yeah / Uh / Let's go / Check it') as a learned signal of 'this is rap' before the verse, often with no rhythmic purpose. A pile of generic ad-libs worn as a costume rather than used as groove is a surface-imitation tell.","Yeah, uh, let's go, check it — I'm on my grind",,"rhyme:rap"
"endless night / endless road","phrase","lyrics","struggle trope","medium","Jack Righteous","Both named as repetitive AI metaphors lacking emotional depth. 'Endless' is the model's default intensifier for hardship — vague magnitude standing in for a concrete struggle.","Driving down this endless road tonight",,"udio:giveaways"
"game/name","rhyme_pair","lyrics","success/recognition","high","Suno; Udio; ChatGPT","The -ame family is the model's success vocabulary: 'in the game', 'rise to fame', 'make a name', 'bring the flame'. Each is a frozen idiom, and the cluster lets the model narrate a generic come-up using only stock phrases, the prefab-success-arc tell.","New to the game / Watch me make a name",,"rhyme:rap"
"all/fall","rhyme_pair","lyrics","surrender/loss","medium","Suno; Udio","Community posts specifically cite the 'all/fall' loop as a repetition-heavy AI tell ('give it all / watch me fall'); minimal, abstract, endlessly recyclable.","I gave it all / now I fall",,"rhyme:common"
"alive/survive","rhyme_pair","lyrics","survival","high","Suno; Udio","Survival-anthem rhyme ('I'm still alive / I will survive'); AI's reflex for defiant choruses, and 'I will survive' borrows a famous hook, making it feel pre-fabricated.","I'm still alive / I will survive",,"rhyme:common; rhyme:more"
"survive/alive/thrive","rhyme_pair","lyrics","survival cluster","high","Suno; Udio","The full survival cluster; AI stacks all three in resilience songs, a tell that it's chaining the densest motivational rhymes rather than telling a story.","I survive / I'm alive / now I thrive",,"rhyme:common"
"electric / digital glow","phrase","lyrics","synth imagery","medium","Verse Nurse; r/udio","Named AI default tokens. 'Electric'/'digital glow' is the model's go-to for modern/synth atmosphere, paired with neon — a glossy texture word that signals auto-generated mood-setting.","Caught in your electric, digital glow",,"udio:giveaways"
"this is more than just a [X]","structure","lyrics","templated phrasing","medium","Suno; Udio","A stock AI escalation template ('more than just a feeling / a moment / a dream'); the slot-fill phrasing recurs across generated songs as a recognizable scaffold.","This is more than just a feeling / more than just a dream",,"rhyme:common"
"velvet sky","phrase","lyrics","texture/luxe","medium","Suno; Udio","Combines the auto-repeated 'velvet' with the auto-repeated 'sky' (zoetic flags 'sky' too) — a double-cliché collision that reads as pure AI texture-padding.","Stars hung in the velvet sky",,"lyric:atmosphere"
"Breaking free / breaking the chains","trope","lyrics","theme","high","Suno; Udio; ChatGPT","Liberation framed as literally breaking chains/walls/cages is a default AI freedom arc. The chains are metaphorical and unnamed, so 'breaking free' becomes a gesture toward liberation with nothing specific being escaped.","Breaking these chains that held me down / I'm finally free, I won't back down",,"lyric:themes"
"Chasing dreams / 'follow your dreams no matter what'","trope","lyrics","theme","high","Suno; Udio; ChatGPT","'Chasing dreams' is one of the model's reflexive thematic anchors for any aspiration. The dream is never specified (not a job, a city, a person — just 'my dreams'), exposing it as a placeholder for ambition rather than a real one.","I'm chasing my dreams, won't let them fade away / Reaching for the stars, I'll find my way",,"lyric:themes"
"City of dreams / 'neon lights and broken dreams'","trope","lyrics","theme","high","Suno; Udio","The 'big city chews up dreamers' frame paired with neon lights is a default urban-melancholy theme. 'Neon' is among Suno's most flagged tell-words, and its automatic pairing with 'city/lights/dreams' exposes the boilerplate.","Neon lights and broken dreams in the city night / Chasing something more beneath the glow",,"lyric:themes"
"Demons / 'fighting my demons inside'","trope","lyrics","theme","high","Suno; Udio; ChatGPT","Inner struggle personified as 'my demons' is one of AI's most reflexive mental-health frames. The demons are never characterized (no specific fear, habit, or memory), so they're a generic stand-in for any inner conflict.","Fighting my demons deep inside tonight / Battling the darkness, searching for the light",,"lyric:themes"
"Escaping reality / 'run away to somewhere better'","trope","lyrics","theme","high","Suno; Udio; ChatGPT","The escapism frame is a high-frequency default: leave this town, chase the horizon, disappear into the night. The destination is always vague ('somewhere,' 'far away,' 'a better place') because the model has no real here to escape from.","Let's run away tonight, leave it all behind / To somewhere far away where we'll be free",,"lyric:themes"
"Finding light in the darkness","trope","lyrics","theme","high","Suno; Udio; ChatGPT","Light-vs-dark is the model's go-to scaffold for any hope-after-pain song. Because light/dark is the most abstract possible struggle, the lyric can stay entirely metaphorical and never touch a real circumstance — that emptiness is the tell.","In the darkness I will find the light / A spark of hope to guide me through the night",,"lyric:themes"
"Generic empowerment / 'be yourself, you are enough'","trope","lyrics","theme","high","Suno; Udio; ChatGPT","AI gravitates to affirmation-poster sentiment because it's the most agreeable, lowest-risk message. The empowerment is addressed to no one and earned by nothing, so it lands as a self-help slogan set to music rather than a personal stake.","You are enough, just be yourself and shine / Believe in you, the power's always been inside",,"lyric:themes"
"Nostalgia for a golden past / 'the good old days'","trope","lyrics","theme","high","Suno; Udio; ChatGPT","AI manufactures generic wistfulness with no specific memory in it — sunlit fields, simpler times, childhood streets that belong to no one. The absence of a concrete remembered detail is the giveaway; it's nostalgia-shaped without a past.","Take me back to the good old days / When life was simple and the sky was clear",,"lyric:themes"
