AI-CLICHE DETECTION DB  -  22762 entries
format: [severity] domain/type | category | TERM :: why
[medium] both/phrase | corporate census | Cubicle Rat → lives in spreadsheets :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[medium] both/phrase | fantasy fiction census | Cue the dramatic return :: Overused AI term catalogued from the 'fantasy fiction' census sweep (source count 1).
[medium] both/phrase | recipe census | Cuisine type and tags :: Overused AI term catalogued from the 'recipe' census sweep (source count 1).
[medium] both/phrase | news journalism census | Cultivate a unique narrative or subject-matter brand :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | fitness wellness census | Cultivating realistic expectations of ageing :: Overused AI term catalogued from the 'fitness wellness' census sweep (source count 1).
[medium] both/phrase | recipe census | Cultural Bias in Recipe Training Data :: Overused AI term catalogued from the 'recipe' census sweep (source count 1).
[medium] both/phrase | news journalism census | Cultural context, translation :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | news journalism census | Cultural impact: New narratives, new norms :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | fitness wellness census | Cultural rituals fused with neuro-tech :: Overused AI term catalogued from the 'fitness wellness' census sweep (source count 1).
[medium] both/phrase | email copywriting census | Cultural sensitivity and contextual awareness :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[medium] both/phrase | corporate census | Cultural Sensitivity in Global Contexts :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[medium] both/phrase | news journalism census | Cultural shifts: What we lose—and what we gain :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | news journalism census | Culture shock: adapting to the hybrid newsroom :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | news journalism census | Culture wars: the battle for the byline :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | news journalism census | Curated alternative news :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | romance fiction census | Curated frontier models :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[medium] both/phrase | claude census | Curiosity-based (what they discover) :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[medium] both/phrase | email copywriting census | Curiosity-driven: what makes them want to know more :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[medium] both/phrase | travel census | Curious travelers seeking authenticity :: Overused AI term catalogued from the 'travel' census sweep (source count 1).
[medium] both/phrase | real estate census | Current areas of focus :: Overused AI term catalogued from the 'real estate' census sweep (source count 1).
[medium] both/phrase | news journalism census | Current information (not limited by training cutoff) :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | claude census | Current message instructions :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[medium] both/phrase | news journalism census | Current State (2024) :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | claude census | Current state of knowledge (what is established) :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[medium] both/phrase | real estate census | Current volume or production baseline :: Overused AI term catalogued from the 'real estate' census sweep (source count 1).
[medium] both/phrase | claude census | Cursor ile Yazılım Geliştirme :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[medium] both/phrase | travel census | Custom AI Innovations :: Overused AI term catalogued from the 'travel' census sweep (source count 1).
[medium] both/phrase | news journalism census | Custom alerts for beat-specific topics :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | news journalism census | Custom alerts for trending misinformation :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[medium] both/phrase | social media census | Custom approval chains :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[medium] both/phrase | social media census | Custom avatar creation (your digital twin) :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[medium] both/phrase | legal medical census | Custom clause libraries and preferences :: Overused AI term catalogued from the 'legal medical' census sweep (source count 3).
[medium] both/phrase | social media census | Custom content type creation :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[medium] both/phrase | email copywriting census | Custom data and private workflows :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[medium] both/phrase | legal medical census | Custom Forms on Westlaw Doc & Form Builder :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[medium] both/phrase | poetry census | Custom GPT Instructions :: Overused AI term catalogued from the 'poetry' census sweep (source count 2).
